LLM,Test Suite,Test Case,Skill Selection Correct,Parameter Score,Interpretation Score,Overall Success,Total Duration (s)
deepseek/deepseek-chat,general_skills,calculator_simple,1,1.00,0.83,1,17.94
deepseek/deepseek-chat,general_skills,clipboard_write,1,1.00,1.00,1,16.30
deepseek/deepseek-chat,general_skills,web_search_basic,1,0.67,0.80,0,23.33
deepseek/deepseek-chat,general_skills,weather_lookup,1,1.00,0.86,1,17.94
deepseek/deepseek-chat,complex_queries,ambiguous_search_vs_weather,1,0.67,1.00,0,18.10
deepseek/deepseek-chat,complex_queries,complex_parameters_extraction,1,1.00,0.50,0,23.54
deepseek/deepseek-chat,complex_queries,implicit_parameters,1,1.00,0.83,1,14.08
deepseek/deepseek-chat,complex_queries,disambiguation_needed,1,1.00,0.80,1,17.64
xai/grok-3-mini,general_skills,calculator_simple,1,1.00,0.83,1,5.97
xai/grok-3-mini,general_skills,clipboard_write,1,1.00,1.00,1,6.29
xai/grok-3-mini,general_skills,web_search_basic,1,0.00,0.80,0,9.41
xai/grok-3-mini,general_skills,weather_lookup,1,1.00,1.00,1,9.34
xai/grok-3-mini,complex_queries,ambiguous_search_vs_weather,1,1.00,1.00,1,9.55
xai/grok-3-mini,complex_queries,complex_parameters_extraction,1,1.00,0.88,1,11.22
xai/grok-3-mini,complex_queries,implicit_parameters,1,1.00,1.00,1,9.14
xai/grok-3-mini,complex_queries,disambiguation_needed,1,1.00,0.80,1,8.71
anthropic/claude-3-5-haiku-latest,general_skills,calculator_simple,1,1.00,0.83,1,3.34
anthropic/claude-3-5-haiku-latest,general_skills,clipboard_write,1,1.00,1.00,1,4.42
anthropic/claude-3-5-haiku-latest,general_skills,web_search_basic,1,1.00,0.80,1,6.87
anthropic/claude-3-5-haiku-latest,general_skills,weather_lookup,1,1.00,1.00,1,4.65
anthropic/claude-3-5-haiku-latest,complex_queries,ambiguous_search_vs_weather,1,0.50,1.00,0,6.26
anthropic/claude-3-5-haiku-latest,complex_queries,complex_parameters_extraction,1,0.80,0.75,1,13.67
anthropic/claude-3-5-haiku-latest,complex_queries,implicit_parameters,1,1.00,0.83,1,5.06
anthropic/claude-3-5-haiku-latest,complex_queries,disambiguation_needed,1,1.00,0.80,1,4.33
fireworks_ai/accounts/fireworks/models/deepseek-v3,general_skills,calculator_simple,1,1.00,1.00,1,4.73
fireworks_ai/accounts/fireworks/models/deepseek-v3,general_skills,clipboard_write,1,1.00,1.00,1,3.23
fireworks_ai/accounts/fireworks/models/deepseek-v3,general_skills,web_search_basic,1,0.67,0.80,0,7.19
fireworks_ai/accounts/fireworks/models/deepseek-v3,general_skills,weather_lookup,1,1.00,0.71,1,8.90
fireworks_ai/accounts/fireworks/models/deepseek-v3,complex_queries,ambiguous_search_vs_weather,1,0.67,1.00,0,6.39
fireworks_ai/accounts/fireworks/models/deepseek-v3,complex_queries,complex_parameters_extraction,1,1.00,0.38,0,10.58
fireworks_ai/accounts/fireworks/models/deepseek-v3,complex_queries,implicit_parameters,1,1.00,1.00,1,10.16
fireworks_ai/accounts/fireworks/models/deepseek-v3,complex_queries,disambiguation_needed,1,1.00,0.80,1,5.57
gemini/gemini-2.5-flash-preview-05-20,general_skills,calculator_simple,1,1.00,0.50,0,4.25
gemini/gemini-2.5-flash-preview-05-20,general_skills,clipboard_write,1,1.00,1.00,1,3.66
gemini/gemini-2.5-flash-preview-05-20,general_skills,web_search_basic,1,0.67,0.80,0,4.34
gemini/gemini-2.5-flash-preview-05-20,general_skills,weather_lookup,1,1.00,1.00,1,4.25
gemini/gemini-2.5-flash-preview-05-20,complex_queries,ambiguous_search_vs_weather,1,0.67,1.00,0,3.62
gemini/gemini-2.5-flash-preview-05-20,complex_queries,complex_parameters_extraction,1,1.00,0.62,1,10.17
gemini/gemini-2.5-flash-preview-05-20,complex_queries,implicit_parameters,1,1.00,1.00,1,4.98
gemini/gemini-2.5-flash-preview-05-20,complex_queries,disambiguation_needed,1,1.00,0.40,0,6.39

LLM,Success Rate,Skill Selection,Parameter Score,Interpretation Score,Avg Duration (s)
deepseek/deepseek-chat,0.62,1.00,0.92,0.83,18.61
xai/grok-3-mini,0.88,1.00,0.88,0.91,8.70
anthropic/claude-3-5-haiku-latest,0.88,1.00,0.91,0.88,6.07
fireworks_ai/accounts/fireworks/models/deepseek-v3,0.62,1.00,0.92,0.84,7.09
gemini/gemini-2.5-flash-preview-05-20,0.50,1.00,0.92,0.79,5.21
